Date,AAPL,BP,GE,IBM,KO
2018-07-20,47.86000061035156,44.540000915527344,78.78459930419922,139.91395568847656,45.279998779296875
2018-07-23,47.90250015258789,44.25,78.00395965576172,139.29254150390625,44.95000076293945
2018-07-24,48.25,44.81999969482422,78.78459930419922,139.94264221191406,45.2599983215332
2018-07-25,48.70500183105469,45.040000915527344,78.72455596923828,140.17208862304688,46.09000015258789
2018-07-26,48.5525016784668,44.529998779296875,78.96475219726562,140.2581329345703,46.2400016784668
2018-07-27,47.744998931884766,44.5099983215332,78.42430877685547,138.7667236328125,46.209999084472656
2018-07-30,47.477500915527344,44.40999984741211,79.0248031616211,139.09178161621094,46.22999954223633
2018-07-31,47.5724983215332,45.09000015258789,81.84711456298828,138.55641174316406,46.630001068115234
2018-08-01,50.375,44.529998779296875,79.50519561767578,137.18930053710938,46.38999938964844
2018-08-02,51.84749984741211,43.77000045776367,79.08484649658203,136.67303466796875,46.18000030517578
2018-08-03,51.997501373291016,43.970001220703125,78.90470123291016,141.20458984375,46.619998931884766
2018-08-06,52.26750183105469,44.130001068115234,78.66450500488281,139.6080322265625,46.650001525878906
2018-08-07,51.77750015258789,44.720001220703125,79.0248031616211,140.54493713378906,46.5
2018-08-08,51.8125,44.630001068115234,78.3642578125,140.43020629882812,46.150001525878906
2018-08-09,52.220001220703125,43.529998779296875,77.70372009277344,138.4034423828125,46.349998474121094
2018-08-10,51.88249969482422,42.9900016784668,76.68287658691406,138.12619018554688,46.08000183105469
2018-08-13,52.217498779296875,42.68000030517578,74.76130676269531,136.4340362548828,45.83000183105469
2018-08-14,52.4375,42.61000061035156,74.16081237792969,137.05545043945312,45.88999938964844
2018-08-15,52.560001373291016,41.529998779296875,73.38017272949219,137.58126831054688,46.08000183105469
2018-08-16,53.33000183105469,41.720001220703125,73.86056518554688,138.94837951660156,46.220001220703125
2018-08-17,54.39500045776367,41.90999984741211,73.86056518554688,139.63670349121094,46.599998474121094
2018-08-20,53.8650016784668,42.380001068115234,73.86056518554688,140.06692504882812,46.72999954223633
2018-08-21,53.7599983215332,42.459999084472656,75.84219360351562,139.55067443847656,46.220001220703125
2018-08-22,53.76250076293945,42.97999954223633,74.88140106201172,138.85276794433594,45.93000030517578
2018-08-23,53.872501373291016,42.939998626708984,75.30175018310547,138.97705078125,45.70000076293945
2018-08-24,54.040000915527344,43.41999816894531,75.0615463256836,139.61758422851562,45.630001068115234
2018-08-27,54.48500061035156,43.869998931884766,76.68287658691406,140.23899841308594,45.689998626708984
2018-08-28,54.92499923706055,43.2599983215332,76.62283325195312,140.14340209960938,45.369998931884766
2018-08-29,55.744998931884766,43.38999938964844,77.88386535644531,141.05162048339844,45.33000183105469
2018-08-30,56.25749969482422,43.58000183105469,76.68287658691406,139.51242065429688,44.95000076293945
2018-08-31,56.907501220703125,42.880001068115234,77.70372009277344,140.03823852539062,44.56999969482422
2018-09-04,57.09000015258789,42.720001220703125,76.08238983154297,139.27342224121094,44.7599983215332
2018-09-05,56.717498779296875,42.779998779296875,75.42184448242188,140.2103271484375,45.380001068115234
2018-09-06,55.775001525878906,42.209999084472656,75.12159729003906,139.9521942138672,45.77000045776367
2018-09-07,55.32500076293945,42.029998779296875,74.4610595703125,139.0535430908203,45.720001220703125
2018-09-10,54.58250045776367,42.09000015258789,75.12159729003906,139.24473571777344,46.060001373291016
2018-09-11,55.962501525878906,42.650001525878906,74.04071044921875,140.0478057861328,46.02000045776367
2018-09-12,55.26750183105469,43.11000061035156,75.72209167480469,140.12428283691406,46.2400016784668
2018-09-13,56.602500915527344,43.41999816894531,76.32258605957031,142.3996124267578,45.83000183105469
2018-09-14,55.959999084472656,43.2599983215332,76.14244079589844,141.806884765625,45.9900016784668
2018-09-17,54.470001220703125,43.2400016784668,76.26253509521484,141.4340362548828,46.31999969482422
2018-09-18,54.560001373291016,43.560001373291016,76.0223388671875,142.02676391601562,45.93000030517578
2018-09-19,54.592498779296875,43.97999954223633,77.22332000732422,142.50477600097656,45.959999084472656
2018-09-20,55.00749969482422,44.56999969482422,74.82135772705078,144.50286865234375,46.63999938964844
2018-09-21,54.415000915527344,44.66999816894531,73.07992553710938,144.69407653808594,46.58000183105469
2018-09-24,55.1974983215332,45.220001220703125,70.49781036376953,143.43212890625,46.06999969482422
2018-09-25,55.54750061035156,46.31999969482422,67.67549133300781,142.3613739013672,45.68000030517578
2018-09-26,55.10499954223633,46.2599983215332,68.39608764648438,144.94264221191406,45.849998474121094
2018-09-27,56.23749923706055,46.869998931884766,69.23677062988281,144.8374786376953,46.0099983215332
2018-09-28,56.435001373291016,46.099998474121094,67.79559326171875,144.5602264404297,46.189998626708984
2018-10-01,56.814998626708984,46.77000045776367,72.59953308105469,146.27151489257812,46.22999954223633
2018-10-02,57.31999969482422,46.810001373291016,73.98066711425781,146.988525390625,46.5099983215332
2018-10-03,58.01750183105469,46.9900016784668,74.94145202636719,146.48184204101562,45.869998931884766
2018-10-04,56.997501373291016,46.77000045776367,76.0223388671875,144.6558380126953,45.849998474121094
2018-10-05,56.0724983215332,46.5,79.1448974609375,142.47610473632812,45.880001068115234
2018-10-08,55.942501068115234,45.810001373291016,81.72701263427734,141.86424255371094,46.47999954223633
2018-10-09,56.717498779296875,46.0099983215332,81.3667221069336,140.7648162841797,46.38999938964844
2018-10-10,54.09000015258789,45.150001525878906,79.74539184570312,136.4149169921875,45.68000030517578
2018-10-11,53.61249923706055,44.130001068115234,76.38263702392578,132.90631103515625,44.63999938964844
2018-10-12,55.52750015258789,44.54999923706055,73.98066711425781,134.6558380126953,44.68000030517578
2018-10-15,54.34000015258789,44.5,72.95982360839844,134.92352294921875,44.90999984741211
2018-10-16,55.537498474121094,44.70000076293945,72.65958404541016,138.73805236816406,45.4900016784668
2018-10-17,55.29750061035156,44.349998474121094,73.20002746582031,128.15487670898438,45.86000061035156
2018-10-18,54.005001068115234,43.86000061035156,74.34095764160156,124.80879211425781,45.61000061035156
2018-10-19,54.82749938964844,44.0,75.42184448242188,123.42256164550781,46.33000183105469
2018-10-22,55.162498474121094,43.13999938964844,74.34095764160156,124.3021011352539,45.970001220703125
2018-10-23,55.682498931884766,42.29999923706055,76.20248413085938,125.43977355957031,46.36000061035156
2018-10-24,53.772499084472656,40.9900016784668,73.07992553710938,121.61567687988281,46.72999954223633
2018-10-25,54.95000076293945,41.59000015258789,70.85810089111328,120.88909912109375,46.5099983215332
2018-10-26,54.07500076293945,41.099998474121094,67.85564422607422,119.3021011352539,45.91999816894531
2018-10-29,53.060001373291016,41.029998779296875,67.01495361328125,114.37858581542969,46.459999084472656
2018-10-30,53.32500076293945,42.209999084472656,61.130126953125,110.3250503540039,47.630001068115234
2018-10-31,54.71500015258789,43.369998931884766,60.64973449707031,110.35372924804688,47.880001068115234
2018-11-01,55.55500030517578,42.650001525878906,57.52717208862305,111.6921615600586,47.7400016784668
2018-11-02,51.869998931884766,41.599998474121094,55.785743713378906,110.58317565917969,48.0
2018-11-05,50.397499084472656,42.61000061035156,55.7256965637207,114.78011322021484,48.689998626708984
2018-11-06,50.942501068115234,42.65999984741211,56.566383361816406,117.7055435180664,49.11000061035156
2018-11-07,52.48749923706055,43.11000061035156,55.24530029296875,119.34990692138672,49.369998931884766
2018-11-08,52.122501373291016,41.27000045776367,54.64480972290039,117.95410919189453,49.33000183105469
